id,文件,category,输入摘要,预期输出,说明
ac-weather-1,access_control_matrix.jsonl,permission_matrix,"u_public 调 query_weather({""city"": ""北京""})",allow,u_public(L1) 查天气
ac-weather-2,access_control_matrix.jsonl,permission_matrix,"u_internal 调 query_weather({""city"": ""北京""})",allow,u_internal(L2) 查天气
ac-weather-3,access_control_matrix.jsonl,permission_matrix,"u_secret 调 query_weather({""city"": ""北京""})",allow,u_secret(L3) 查天气
ac-weather-4,access_control_matrix.jsonl,permission_matrix,"u_admin 调 query_weather({""city"": ""北京""})",allow,u_admin(L4) 查天气
ac-read-1,access_control_matrix.jsonl,permission_matrix,"u_public 调 read_file({""path"": ""C:/Users/admin/Desktop/not...",block,public(L1) < 所需2
ac-read-2,access_control_matrix.jsonl,permission_matrix,"u_internal 调 read_file({""path"": ""C:/Users/admin/Desktop/n...",allow,
ac-read-3,access_control_matrix.jsonl,permission_matrix,"u_secret 调 read_file({""path"": ""C:/Users/admin/Desktop/not...",allow,
ac-read-4,access_control_matrix.jsonl,permission_matrix,"u_admin 调 read_file({""path"": ""C:/Users/admin/Desktop/note...",allow,
ac-write-1,access_control_matrix.jsonl,permission_matrix,"u_public 调 write_file({""path"": ""C:/demo/a.txt"", ""content""...",block,
ac-write-2,access_control_matrix.jsonl,permission_matrix,"u_internal 调 write_file({""path"": ""C:/demo/a.txt"", ""conten...",block,
ac-write-3,access_control_matrix.jsonl,permission_matrix,"u_secret 调 write_file({""path"": ""C:/demo/a.txt"", ""content""...",allow,
ac-write-4,access_control_matrix.jsonl,permission_matrix,"u_admin 调 write_file({""path"": ""C:/demo/a.txt"", ""content"":...",allow,
ac-del-1,access_control_matrix.jsonl,permission_matrix,"u_public 调 delete_file({""path"": ""C:/demo/a.txt""})",block,
ac-del-2,access_control_matrix.jsonl,permission_matrix,"u_internal 调 delete_file({""path"": ""C:/demo/a.txt""})",block,
ac-del-3,access_control_matrix.jsonl,permission_matrix,"u_secret 调 delete_file({""path"": ""C:/demo/a.txt""})",allow,
ac-del-4,access_control_matrix.jsonl,permission_matrix,"u_admin 调 delete_file({""path"": ""C:/demo/a.txt""})",allow,
ac-exec-1,access_control_matrix.jsonl,permission_matrix,"u_public 调 execute_bash({""command"": ""ls""})",block,
ac-exec-2,access_control_matrix.jsonl,permission_matrix,"u_internal 调 execute_bash({""command"": ""ls""})",block,
ac-exec-3,access_control_matrix.jsonl,permission_matrix,"u_secret 调 execute_bash({""command"": ""ls""})",block,
